title,author,description,rating,ratingCount,reviewCount,genre,book_link
 The Letters of Vincent van Gogh,Vincent van Gogh,A new selection of post-impressionist painter Vincent Van Gough's letters; The Letters of Vincent van Gogh put a human face on one of the most haunting figures in modern Western culture. In this Penguin Classics edition; the letters are selected and edited by Ronald de Leeuw; and translated by Arnold Pomerans in Penguin Classics.Few artists' letters are as self-revelatory as Vincent van Gogh's; and this selection; spanning his artistic career; sheds light on every facet of the life and work of this complex and tortured man. Engaging candidly and movingly with his religious struggles; his ill-fated search for love; his attacks of mental illness and his relation with his brother Theo; the letters contradict the popular myth of van Gogh as an anti-social madman and a martyr to art; showing instead a man of great emotional and spiritual depths. Above all; they stand as an intense personal narrative of artistic development and a unique account of the process of creation.The letters are linked by explanatory biographical passages; revealing van Gogh's inner journey as well as the outer facts of his life. This edition also includes the drawings that originally illustrated the letters.Vincent Willem van Gogh (1853-1890) was born in Holland. In 1885 he painted his first masterpiece; The Potato Eaters; a haunting scene of domestic poverty. A year later he began studying in Paris; where he met Gauguin; Toulouse-Lautrec and Seurat; who became very important influences on his work. In 1888 he left Paris for the Provencal landscape at Arles; the subject of many of his best works; including Sunflowers.If you enjoyed The Letters of Vincent van Gogh; you might also like 100 Artists Manifestos; available in Penguin Modern Classics.'If there was ever any doubt that Van Gogh's letters belong beside those great classics of artistic self-revelation; Cellini's autobiography and Delacroix's journal; this excellent new edition dispels it'The Times,4.05,76104,391,art,https://www.goodreads.com/book/show/395233.The_Letters_of_Vincent_van_Gogh
 Seven Days in the Art World,Sarah Thornton,Named one of the best art books of 2008 by The New York Times and The Sunday Times [London]: “An indelible portrait of a peculiar society.”—Vogue The art market has been booming. Museum attendance is surging. More people than ever call themselves artists. Contemporary art has become a mass entertainment; a luxury good; a job description; and; for some; a kind of alternative religion.   In a series of beautifully paced narratives; Sarah Thornton investigates the drama of a Christie's auction; the workings in Takashi Murakami's studios; the elite at the Basel Art Fair; the eccentricities of Artforum magazine; the competition behind an important art prize; life in a notorious art-school seminar; and the wonderland of the Venice Biennale. She reveals the new dynamics of creativity; taste; status; money; and the search for meaning in life. A judicious and juicy account of the institutions that have the power to shape art history; based on hundreds of interviews with high-profile players; Thornton's entertaining ethnography will change the way you look at contemporary culture. 8 illustrations.,3.60,57405,699,art,https://www.goodreads.com/book/show/6988014-seven-days-in-the-art-world
 The Goldfinch,Donna Tartt,It begins with a boy. Theo Decker; a thirteen-year-old New Yorker; miraculously survives an accident that kills his mother. Abandoned by his father; Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue; disturbed by schoolmates who don't know how to talk to him; and tormented above all by his unbearable longing for his mother; he clings to one thing that reminds him of her: a small; mysteriously captivating painting that ultimately draws Theo into the underworld of art.As an adult; Theo moves silkily between the drawing rooms of the rich and the dusty labyrinth of an antiques store where he works. He is alienated and in love-and at the center of a narrowing; ever more dangerous circle.The Goldfinch combines vivid characters; mesmerizing language; and suspense; while plumbing with a philosopher's calm the deepest mysteries of love; identity; and art. It is an old-fashioned story of loss and obsession; survival and self-invention; and the ruthless machinations of fate.,3.92,740677,62056,art,https://www.goodreads.com/book/show/17333223-the-goldfinch
 History of Beauty,Umberto Eco,Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco; among Italy’s finest and most important contemporary thinkers; explores the nature; the meaning; and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustrated with abundant examples of sublime painting and sculpture and lengthy quotations from writers and philosophers. This is the first paperback edition of History of Beauty; making this intellectual and philosophical journey with one of the world’s most acclaimed thinkers available in a more compact and affordable format.From the Trade Paperback edition,3.80,52473,308,art,https://www.goodreads.com/book/show/10505.History_of_Beauty
 On Photography,Susan Sontag,"First published in 1973; this is a study of the force of photographic images which are continually inserted between experience and reality. Sontag develops further the concept of 'transparency'. When anything can be photographed and photography has destroyed the boundaries and definitions of art; a viewer can approach a photograph freely with no expectations of discovering what it means. This collection of six lucid and invigorating essays; the most famous being ""In Plato's Cave""; make up a deep exploration of how the image has affected society.",3.84,38947,835,art,https://www.goodreads.com/book/show/52372.On_Photography
 MC Escher The Graphic Work,M.C. Escher,Presenting the structurally unthinkable as though it were a law of nature M.C. Escher was born in 1898 in Leeuwarden (Netherlands). He received his first drawing lessons during secondary school from F.W. van der Haagen; who also taught him the block printing; thus fostering Escher's innate graphic talents. From 1912 to 1922 he studied at the School of Architecture and Ornamental Design in Haarlem; where he was instructed in graphic techniques by S. Jessurun de Mesquita; who greatly influenced Escher's further artistic development. Between 1922 and 1934 the artist lived and worked in Italy. Afterwards Escher spent two years in Switzerland and five in Brussels before finally moving back to Barn in Holland; where he died in 1972. M.C. Escher is not a surrealist drawing us into his dream world; but an architect of perfectly impossible worlds who presents the structurally unthinkable as though it were a law of nature. The resulting dimensional and perspectival illusions bring us into confrontation with the limitations of our sensory perception. About the Series:  Each book in TASCHEN's Basic Art series features:a detailed chronological summary of the life and oeuvre of the artist; covering his or her cultural and historical importance a concise biography approximately 100 illustrations with explanatory captions,3.92,63811,185,art,https://www.goodreads.com/book/show/276287.M_C_Escher
 Understanding Comics The Invisible Art,Scott McCloud,"The bestselling international classic on storytelling and visual communication""You must read this book."" — Neil GaimanPraised throughout the cartoon industry by such luminaries as Art Spiegelman; Matt Groening; and Will Eisner; Scott McCloud's Understanding Comics is a seminal examination of comics art: its rich history; surprising technical components; and major cultural significance. Explore the secret world between the panels; through the lines; and within the hidden symbols of a powerful but misunderstood art form.",3.98,108082,2350,art,https://www.goodreads.com/book/show/102920.Understanding_Comics
 The Diary of Frida Kahlo An Intimate Self-Portrait,Frida Kahlo,Published here in its entirety; Frida Kahlo's amazing illustrated journal documents the last ten years of her turbulent life. This passionate; often surprising; intimate record; kept under lock and key for some forty years in Mexico; reveals many new dimensions in the complex persona of this remarkable Mexican artist.Covering the years 1944-45; the 170-page journal contains Frida's thoughts; poems; and dreams; and reflects her stormy relationship with her husband; Diego Rivera; Mexico's famous artist. The seventy watercolor illustrations in the journal - some lively sketches; several elegant self-portraits; others complete paintings - offer insights into her creative process; and show her frequently using the journal to work out pictorial ideas for her canvases.The text entries; written in Frida's round; full script in brightly colored inks; add an almost decorative quality; making the journal as captivating to look at as it is to read. Frida's childhood; her political sensibilities; and her obsession with Diego are all illuminated in witty phrases and haunting images.Although much has been written recently about this extraordinary woman; Frida Kahlo's art and life continue to fascinate the world. This personal document; published in a complete full-color facsimile edition; will add greatly to the understanding of her unique and powerful vision and her enormous courage in the face of more than thirty-five operations to correct injuries she had sustained in an accident at the age of eighteen. The facsimile is accompanied by an introduction by the world-renowned Mexican man of letters Carlos Fuentes and a complete translation of the diary's text. An essay on the place of the diary in Frida's work and in art history at large; as well as commentaries on the images; is provided by Sarah M. Lowe.,3.88,38628,452,art,https://www.goodreads.com/book/show/91760.The_Diary_of_Frida_Kahlo
 Color A Natural History of the Palette,Victoria Finlay,Discover the tantalizing true stories behind your favorite colors.For example: Cleopatra used saffron—a source of the color yellow—for seduction. Extracted from an Afghan mine; the blue “ultramarine” paint used by Michelangelo was so expensive he couldn’t afford to buy it himself. Since ancient times; carmine red—still found in lipsticks and Cherry Coke today—has come from the blood of insects.,3.79,63725,678,art,https://www.goodreads.com/book/show/19596.Color
 Art Through the Ages ,Helen Gardner,"The market-leading text for the art history survey course; GARDNER'S ART THROUGH THE AGES has served as a comprehensive and thoughtfully crafted guide to the defining phases of the world's artistic tradition. With this book in hand; thousands of students have watched the story of art unfold in its full historical; social; religious; economic; and cultural context; and thus deepened their understanding of art; architecture; painting; and sculpture. By virtue of its comprehensive coverage; strong emphasis on context; and rich; accurate art reproductions; GARDNER'S ART THROUGH THE AGES has earned and sustained a reputation of excellence and authority. So much so; that in 2001; the Text and Academic Authors Association awarded both the McGuffey and the ""Texty"" Book Prizes to the Eleventh Edition of the text. It is the first art history book to win either award and the only title ever to win both prizes in one year. The Twelfth Edition maintains and exceeds the richness of the Gardner legacy with updated research and scholarship and an even more beautiful art program featuring more color images than any other art history book available. The Twelfth Edition features such enhancements as more color photographs; a stunning new design; and the most current research and scholarship. What's more; the expanded ancillary package that accompanies GARDNER'S ART THROUGH THE AGES; features a wealth of tools to enhance your students' experience in the course. With each new copy of the book; students receive a copy of the ArtStudy 2.0 CD-ROM--an interactive electronic study aid that fully integrates with the Twelfth Edition and includes hundreds of high-quality digital images; plus maps; quizzes; and more.",3.81,36983,217,art,https://www.goodreads.com/book/show/32525.Art_Through_the_Ages
 The War of Art Break Through the Blocks  Win Your Inner Creative Battles,Steven Pressfield,Internationally bestselling author of Last of the Amazons; Gates of Fire; and Tides of War; Steven Pressfield delivers a guide to inspire and support those who struggle to express their creativity. Pressfield believes that “resistance” is the greatest enemy; and he offers many unique and helpful ways to overcome it.,4.00,76034,6112,art,https://www.goodreads.com/book/show/1319.The_War_of_Art
 The Shock of the New,Robert Hughes,A beautifully illustrated hundred-year history of modern art; from cubism to pop and avant-garde. More than 250 color photos.,3.71,31213,130,art,https://www.goodreads.com/book/show/542639.The_Shock_of_the_New
 Just Kids,Patti Smith,In Just Kids; Patti Smith's first book of prose; the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship; Smith brings the same unique; lyrical quality to Just Kids as she has to the rest of her formidable body of work--from her influential 1975 album Horses to her visual art and poetry.,4.15,187048,11219,art,https://www.goodreads.com/book/show/341879.Just_Kids
 History of Art,H.W. Janson,"For 1000s of art lovers both amateur & professional; esthetic life began with Janson; as his History of Art is often called. In the 1st edition; published in 1962; he spoke to that perennial reader he gently called ""the troubled layman."" His opening paragraph revealed his sympathy: ""Why is this supposed to be art?"" he quoted rhetorically. ""How often have we heard this question asked--or asked it ourselves; perhaps--in front of one of the strange; disquieting works that we are likely to find nowadays in the museum or art exhibition?"" Keeping that curious; questioning perspective in mind; he wrote a history of art from cave painting to Picasso that was singularly welcoming; illuminating & exciting. Sojourning thru this book; a reader is offered every amenity for a comfortable trip. Because he never assumes knowledge on the part of the reader; a recent immigrant from Mars could comprehend Western art from this text. The only assumption the Jansons have made is that with a little guidance everyone can come to understand the artifacts that centuries of architecture; sculpture; design & painting have deposited in our paths. Countless readers have proven the Jansons right & found their lives enriched in the process.",3.78,32048,163,art,https://www.goodreads.com/book/show/2693801-history-of-art
 The Lives of the Artists,Giorgio Vasari,Packed with facts; attributions; and entertaining anecdotes about his contemporaries; Giorgio Vasari's collection of biographical accounts also presents a highly influential theory of the development of Renaissance art.Beginning with Cimabue and Giotto; who represent the infancy of art; Vasari considers the period of youthful vigour; shaped by Donatello; Brunelleschi; Ghiberti; and Masaccio; before discussing the mature period of perfection; dominated by the titanic figures of Leonardo; Raphael; and Michelangelo.This specially commissioned translation contains thirty-six of the most important lives as well as an introduction and explanatory notes.About the Series:For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship; providing the most accurate text plus a wealth of other valuable features; including expert introductions by leading authorities; helpful notes to clarify the text; up-to-date bibliographies for further study; and much more.,3.74,27621,164,art,https://www.goodreads.com/book/show/233389.The_Lives_of_the_Artists
 The Art Forger,Shapiro; Barbara,A Barbara A. Shapiro tour de force.On March 18; 1990; thirteen works of art worth today over $500 million were stolen from the Isabella Stewart Gardner Museum in Boston. It remains the largest unsolved art heist in history; and Claire Roth; a struggling young artist; is about to discover that there’s more to this crime than meets the eye.Claire makes her living reproducing famous works of art for a popular online retailer. Desperate to improve her situation; she lets herself be lured into a Faustian bargain with Aiden Markel; a powerful gallery owner. She agrees to forge a painting—one of the Degas masterpieces stolen from the Gardner Museum—in exchange for a one-woman show in his renowned gallery. But when the long-missing Degas painting—the one that had been hanging for one hundred years at the Gardner—is delivered to Claire’s studio; she begins to suspect that it may itself be a forgery.Claire’s search for the truth about the painting’s origins leads her into a labyrinth of deceit where secrets hidden since the late nineteenth century may be the only evidence that can now save her life. B. A. Shapiro’s razor-sharp writing and rich plot twists make The Art Forger an absorbing literary thriller that treats us to three centuries of forgers; art thieves; and obsessive collectors. it’s a dazzling novel about seeing—and not seeing—the secrets that lie beneath the canvas.,3.72,78988,6527,art,https://www.goodreads.com/book/show/14568987-the-art-forger
 Leonardo da Vinci,Walter Isaacson,Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work; Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves; such as passionate curiosity; careful observation; and an imagination so playful that it flirted with fantasy. He produced the two most famous paintings in history; The Last Supper and the Mona Lisa. But in his own mind; he was just as much a man of science and technology. With a passion that sometimes became obsessive; he pursued innovative studies of anatomy; fossils; birds; the heart; flying machines; botany; geology; and weaponry. His ability to stand at the crossroads of the humanities and the sciences; made iconic by his drawing of Vitruvian Man; made him history's most creative genius,4.13,67856,4159,art,https://www.goodreads.com/book/show/34684622-leonardo-da-vinci
 Vincent Van Gogh The Complete Paintings,Rainer Metzger,Van Gogh; who took up a variety of professions before becoming an artist; was a solitary; despairing and self-destructive man. This richly illustrated and expert study follows the artist from the early gloom-laden paintings in which he captured the misery of peasants and workers in his homeland; through his bright and colorful Parisian period; to the work of his final years; spent under a southern sun in Arles.,4.10,41721,130,art,https://www.goodreads.com/book/show/203805.Vincent_Van_Gogh
 The Agony and the Ecstasy,Irving Stone,Celebrating the 500th anniversary of Michelangelo’s David; New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right; this novel offers a compelling portrait of Michelangelo’s dangerous; impassioned loves; and the God-driven fury from which he wrested the greatest art the world has ever known.,4.06,82314,2035,art,https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy
 Color and Light A Guide for the Realist Painter,James Gurney,"From New York Times best-selling author of the Dinotopia series; James Gurney; comes a carefully crafted and researched study on color and light in paintings. This art instruction book will accompany the acclaimed Imaginative Realism: How to Paint What Doesn't Exist.James Gurney; New York Times best-selling author and artist of the Dinotopia series; follows Imaginative Realism with his second art-instruction book; Color and Light: A Guide for the Realist Painter. A researched study on two of art's most fundamental themes; Color and Light bridges the gap between abstract theory and practical knowledge. Beginning with a survey of underappreciated masters who perfected the use of color and light; the book examines how light reveals form; the properties of color and pigments; and the wide variety of atmospheric effects. Gurney cuts though the confusing and contradictory dogma about color; testing it in the light of science and observation. A glossary; pigment index; and bibliography complete what will ultimately become an indispensable tool for any artist.This book is the second in a series based on his blog; gurneyjourney.com. His first in the series; Imaginative Realism; was widely acclaimed in the fantastical art world; and was ranked the #1 Bestseller on the Amazon list for art instruction.""James Gurney's new book; Color and Light; cleverly bridges the gap between artistic observation and scientific explanation. Not only does he eloquently describe all the effects of color and light an artist might encounter; but he thrills us with his striking paintings in the process."" --Armand Cabrera; Artist",4.18,8843,126,art,https://www.goodreads.com/book/show/8384010-color-and-light
 Leonardos Notebooks,Leonardo da Vinci,An all-new; jewel-like; reader-friendly format gives new life to this relaunch of an international best-seller.Leonardo da Vinci—artist; inventor; and prototypical Renaissance man—is a perennial source of fascination because of his astonishing intellect and boundless curiosity about the natural and man-made world. During his life he created numerous works of art and kept voluminous notebooks that detailed his artistic and intellectual pursuits.The collection of writings and art in this magnificent book are drawn from his notebooks. The book organizes his wide range of interests into subjects such as human figures; light and shade; perspective and visual perception; anatomy; botany and landscape; geography; the physical sciences and astronomy; architecture; sculpture; and inventions. Nearly every piece of writing throughout the book is keyed to the piece of artwork it describes.The writing and art is selected by art historian H. Anna Suh; who provides fascinating commentary and insight into the material; making Leonardo's Notebooks an exquisite single-volume compendium celebrating his enduring genius.,3.94,39995,238,art,https://www.goodreads.com/book/show/24096.Leonardo_s_Notebooks
 Show Your Work 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,In his New York Times bestseller Steal Like an Artist; Austin Kleon showed readers how to unlock their creativity by “stealing” from the community of other movers and shakers. Now; in an even more forward-thinking and necessary book; he shows how to take that critical next step on a creative journey—getting known. Show Your Work! is about why generosity trumps genius. It’s about getting findable; about using the network instead of wasting time “networking.” It’s not self-promotion; it’s self-discovery—let others into your process; then let them steal from you. Filled with illustrations; quotes; stories; and examples; Show Your Work! offers ten transformative rules for being open; generous; brave; productive. In chapters such as You Don’t Have to Be a Genius; Share Something Small Every Day; and Stick Around; Kleon creates a user’s manual for embracing the communal nature of creativity— what he calls the “ecology of talent.” From broader life lessons about work (you can’t find your voice if you don’t use it) to the etiquette of sharing—and the dangers of oversharing—to the practicalities of Internet life (build a good domain name; give credit when credit is due); it’s an inspiring manifesto for succeeding as any kind of artist or entrepreneur in the digital age.,4.10,26542,2065,art,https://www.goodreads.com/book/show/18290401-show-your-work
 What Are You Looking At 150 Years of Modern Art in a Nutshell,Will Gompertz,"In the tradition of Eats; Shoots & Leaves; art history with a sense of humorEvery year; millions of museum and gallery visitors ponder the modern art on display and secretly ask themselves; ""Is this art?"" A former director at London's Tate Gallery and now the BBC arts editor; Will Gompertz made it his mission to bring modern art's exciting history alive for everyone; explaining why an unmade bed or a pickled shark can be art—and why a five-year-old couldn't really do it. Rich with extraordinary tales and anecdotes; What Are You Looking At? entertains as it arms readers with the knowledge to truly understand and enjoy what it is they’re looking at.",4.25,4844,414,art,https://www.goodreads.com/book/show/15929764-what-are-you-looking-at
 An Illustrated Life Drawing Inspiration from the Private Sketchbooks of Artists; Illustrators and Designers,Danny Gregory,Find Insight and Inspiration for Your Creative LifeAn artist's journal is packed with sketches and captions; some rough; some polished. The margins sometimes spill over with hurriedly scrawled shopping lists and phone numbers. The cover may be travel-worn and the pages warped from watercolors. Open the book; and raw creativity seeps from each color and line. The intimacy and freedom on its pages are almost like being inside the artist's mind: You get a direct window into risks; lessons; mistakes; and dreams.The private worlds of these visual journals are exactly what you'll find inside An Illustrated Life. This book offers a sneak peak into the wildly creative imaginations of 50 top illustrators; designers and artists. Included are sketchbook pages from R. Crumb; Chris Ware; James Jean; James Kochalka; and many others. In addition; author Danny Gregory has interviewed each artist and shares their thoughts on living the artistic life through journaling.Watch artists—through words and images—record the world they see and craft the world as they want it to be. The pages of An Illustrated Life are sometimes startling; sometimes endearing; but always inspiring. Whether you're an illustrator; designer; or simply someone searching for inspiration; these pages will open a whole new world to you.,3.66,23280,158,art,https://www.goodreads.com/book/show/3253215-an-illustrated-life
 Interaction of Color,Josef Albers,Josef Albers’s Interaction of Color is a masterwork in twentieth-century art education. Conceived as a handbook and teaching aid for artists; instructors; and students; this timeless book presents Albers’s unique ideas of color experimentation in a way that is valuable to specialists as well as to a larger audience.Originally published by Yale University Press in 1963 as a limited silkscreen edition with 150 color plates; Interaction of Color first appeared in paperback in 1971; featuring ten representative color studies chosen by Albers. The paperback has remained in print ever since and is one of the most influential resources on color for countless readers.This new paperback edition presents a significantly expanded selection of more than thirty color studies alongside Albers’s original unabridged text; demonstrating such principles as color relativity; intensity; and temperature; vibrating and vanishing boundaries; and the illusions of transparency and reversed grounds. Now available in a larger format and with enhanced production values; this expanded edition celebrates the unique authority of Albers’s contribution to color theory and brings the artist’s iconic study to an eager new generation of readers.,4.07,7337,143,art,https://www.goodreads.com/book/show/111113.Interaction_of_Color
 Figure Drawing for All Its Worth How to draw and paint,Andrew Loomis,Hardback book. 204 pages.,4.02,16345,103,art,https://www.goodreads.com/book/show/147941.Figure_Drawing_for_All_It_s_Worth
 The Art Spirit,Robert Henri,In this book are the essential beliefs and theories of a great teacher and American artist; Robert Henri. While it embodies the entire system of his teaching; with much technical advice and critical comment for the student; it also contains inspiration for those to whom the happiness to be found through all the arts is important.No other American painter attracted such a large; intensely personal group of followers as Henri; whose death in 1929 brought to an end a life that has been completely devoted to art. He was an inspired artist and teacher who believed that everyone is vitally concerned in the happiness and wisdom to be found through the arts. Many of his paintings have been acquired by museums and private collectors. Among them are the Baltimore Museum of Art; the Metropolitan Museum of Art; the National Gallery of Art; the Whitney Museum of American Art; the Wichita Art Museum; and Yale University Art Gallery.,3.89,19811,184,art,https://www.goodreads.com/book/show/207781.The_Art_Spirit
 The Philosophy of Andy Warhol From A to B and Back Again,Andy Warhol,"A loosely formed autobiography by Andy Warhol; told with his trademark blend of irony and detachmentIn The Philosophy of Andy Warhol—which; with the subtitle ""(From A to B and Back Again);"" is less a memoir than a collection of riffs and reflections—he talks about love; sex; food; beauty; fame; work; money; and success; about New York; America; and his childhood in McKeesport; Pennsylvania; about his good times and bad in New York; the explosion of his career in the sixties; and his life among celebrities.",3.77,37968,502,art,https://www.goodreads.com/book/show/31818.The_Philosophy_of_Andy_Warhol
